núm_corre,año_ocu,mes_ocu,día_ocu,día_sem_ocu,hora_ocu,g_hora,g_hora_mañ.tar.noch,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_60ymás,g_edad_80ymás,edad_quinquenales,delito_com,g_delitos
1,2020,1,2,4,9,2,1,22,2206,99,1,48,8,8,10,75,3
2,2020,1,3,5,13,3,2,1,101,4,1,60,11,11,13,75,3
3,2020,1,3,5,11,2,1,1,101,11,1,66,11,12,14,75,3
4,2020,1,4,6,11,2,1,1,109,99,1,22,3,3,5,75,3
5,2020,1,4,6,14,3,2,1,108,99,1,34,5,5,7,69,3
6,2020,1,4,6,23,4,3,5,509,99,1,21,3,3,5,75,3
7,2020,1,4,6,23,4,3,5,509,99,1,21,3,3,5,75,3
8,2020,1,5,7,17,3,2,1,108,99,1,73,11,13,15,75,3
9,2020,1,6,1,7,2,1,1,110,99,1,35,6,6,8,75,3
10,2020,1,6,1,8,2,1,4,401,99,1,55,10,10,12,69,3
11,2020,1,8,3,20,4,3,1,108,99,1,54,9,9,11,75,3
12,2020,1,8,3,10,2,1,18,1801,99,1,43,7,7,9,75,3
13,2020,1,8,3,12,3,2,3,306,99,1,28,4,4,6,75,3
14,2020,1,9,4,20,4,3,1,101,12,1,32,5,5,7,75,3
15,2020,1,9,4,11,2,1,2,202,99,1,35,6,6,8,75,3
16,2020,1,10,5,14,3,2,17,1701,99,2,46,8,8,10,75,3
17,2020,1,10,5,19,4,3,1,101,16,1,48,8,8,10,75,3
18,2020,1,12,1,7,2,1,1,101,10,1,42,7,7,9,75,3
19,2020,1,12,1,7,2,1,5,501,99,1,42,7,7,9,75,3
20,2020,1,12,1,21,4,3,2,203,99,1,68,11,12,14,75,3
21,2020,1,12,1,8,2,1,3,301,99,1,57,10,10,12,75,3
22,2020,1,14,2,11,2,1,5,501,99,1,21,3,3,5,75,3
23,2020,1,15,3,10,2,1,20,2007,99,1,45,8,8,10,75,3
24,2020,1,15,3,10,2,1,1,103,99,1,25,4,4,6,75,3
25,2020,1,16,4,12,3,2,22,2211,99,1,34,5,5,7,75,3
26,2020,1,17,5,12,3,2,1,101,5,1,31,5,5,7,75,3
27,2020,1,17,5,12,3,2,1,101,5,1,31,5,5,7,75,3
28,2020,1,17,5,15,3,2,2,201,99,1,39,6,6,8,75,3
29,2020,1,17,5,9,2,1,18,1804,99,1,39,6,6,8,75,3
30,2020,1,18,6,7,2,1,1,101,12,1,45,8,8,10,75,3
31,2020,1,18,6,13,3,2,18,1803,99,1,39,6,6,8,75,3
32,2020,1,19,7,10,2,1,1,101,13,1,41,7,7,9,69,3
33,2020,1,19,7,5,1,1,22,2216,99,1,38,6,6,8,69,3
34,2020,1,19,7,21,4,3,5,513,99,1,40,7,7,9,75,3
35,2020,1,19,7,2,1,1,18,1804,99,1,35,6,6,8,69,3
36,2020,1,20,1,21,4,3,1,101,5,1,22,3,3,5,69,3
37,2020,1,20,1,20,4,3,1,101,7,1,40,7,7,9,69,3
38,2020,1,20,1,15,3,2,5,511,99,1,50,9,9,11,75,3
39,2020,1,20,1,15,3,2,5,511,99,1,50,9,9,11,75,3
40,2020,1,21,2,14,3,2,1,115,99,1,29,4,4,6,69,3
41,2020,1,21,2,7,2,1,19,1901,99,1,61,11,11,13,75,3
42,2020,1,21,2,14,3,2,5,502,99,1,39,6,6,8,69,3
43,2020,1,21,2,19,4,3,5,506,99,1,33,5,5,7,75,3
44,2020,1,21,2,5,1,1,5,501,99,1,39,6,6,8,75,3
45,2020,1,21,2,14,3,2,5,506,99,1,52,9,9,11,75,3
46,2020,1,23,4,10,2,1,18,1804,99,1,47,8,8,10,75,3
47,2020,1,23,4,9,2,1,13,1316,99,1,999,12,16,18,69,3
48,2020,1,24,5,16,3,2,21,2101,99,1,27,4,4,6,75,3
49,2020,1,26,1,11,2,1,3,312,99,1,29,4,4,6,75,3
50,2020,1,28,2,12,3,2,1,102,99,2,35,6,6,8,75,3
51,2020,1,28,2,19,4,3,2,207,99,1,24,3,3,5,75,3
52,2020,1,29,3,19,4,3,5,501,99,1,58,10,10,12,75,3
53,2020,1,31,5,21,4,3,10,1021,99,1,51,9,9,11,75,3
54,2020,2,2,7,22,4,3,1,101,6,1,36,6,6,8,69,3
55,2020,2,2,7,99,5,4,1,101,10,1,36,6,6,8,75,3
56,2020,2,2,7,12,3,2,22,2212,99,1,55,10,10,12,69,3
57,2020,2,3,1,4,1,1,1,101,13,1,57,10,10,12,75,3
58,2020,2,3,1,17,3,2,1,117,99,1,49,8,8,10,75,3
59,2020,2,3,1,99,5,4,22,2201,99,1,32,5,5,7,75,3
60,2020,2,3,1,16,3,2,5,506,99,1,55,10,10,12,75,3
61,2020,2,4,2,5,1,1,1,115,99,1,58,10,10,12,75,3
62,2020,2,4,2,11,2,1,19,1904,99,1,41,7,7,9,69,3
63,2020,2,6,4,17,3,2,1,110,99,1,30,5,5,7,69,3
64,2020,2,7,5,13,3,2,1,110,99,1,37,6,6,8,69,3
65,2020,2,7,5,9,2,1,10,1005,99,1,27,4,4,6,69,3
66,2020,2,7,5,8,2,1,18,1805,99,1,999,12,16,18,69,3
67,2020,2,8,6,9,2,1,1,101,11,1,28,4,4,6,75,3
68,2020,2,8,6,12,3,2,5,501,99,1,33,5,5,7,75,3
69,2020,2,10,1,3,1,1,1,101,13,1,30,5,5,7,69,3
70,2020,2,10,1,3,1,1,1,101,13,1,43,7,7,9,69,3
71,2020,2,10,1,12,3,2,1,108,99,1,45,8,8,10,75,3
72,2020,2,10,1,11,2,1,18,1801,99,1,40,7,7,9,75,3
73,2020,2,10,1,11,2,1,18,1801,99,1,40,7,7,9,75,3
74,2020,2,10,1,15,3,2,4,416,99,1,46,8,8,10,69,3
75,2020,2,11,2,17,3,2,4,404,99,1,65,11,12,14,75,3
76,2020,2,13,4,17,3,2,1,101,14,1,61,11,11,13,69,3
77,2020,2,13,4,15,3,2,22,2211,99,1,58,10,10,12,75,3
78,2020,2,13,4,20,4,3,18,1801,99,1,42,7,7,9,69,3
79,2020,2,13,4,11,2,1,18,1801,99,1,54,9,9,11,75,3
80,2020,2,13,4,19,4,3,18,1803,99,1,28,4,4,6,69,3
81,2020,2,13,4,19,4,3,18,1803,99,1,31,5,5,7,69,3
82,2020,2,14,5,8,2,1,17,1706,99,1,43,7,7,9,69,3
83,2020,2,15,6,16,3,2,19,1905,99,1,39,6,6,8,69,3
84,2020,2,16,7,14,3,2,19,1901,99,2,40,7,7,9,75,3
85,2020,2,17,1,19,4,3,18,1804,99,2,24,3,3,5,69,3
86,2020,2,18,2,11,2,1,1,101,1,1,48,8,8,10,69,3
87,2020,2,18,2,11,2,1,1,101,1,1,48,8,8,10,69,3
88,2020,2,18,2,11,2,1,1,101,1,1,48,8,8,10,69,3
89,2020,2,18,2,11,2,1,1,101,1,1,48,8,8,10,69,3
90,2020,2,18,2,11,2,1,1,101,1,1,48,8,8,10,69,3
91,2020,2,18,2,11,2,1,1,101,1,1,48,8,8,10,69,3
92,2020,2,18,2,99,5,4,20,2007,99,1,35,6,6,8,75,3
93,2020,2,18,2,16,3,2,6,611,99,1,56,10,10,12,69,3
94,2020,2,18,2,7,2,1,18,1805,99,1,44,7,7,9,75,3
95,2020,2,18,2,10,2,1,4,414,99,1,49,8,8,10,75,3
96,2020,2,19,3,12,3,2,1,101,18,1,27,4,4,6,75,3
97,2020,2,19,3,7,2,1,5,501,99,1,37,6,6,8,75,3
98,2020,2,19,3,20,4,3,18,1801,99,1,36,6,6,8,75,3
99,2020,2,20,4,7,2,1,1,101,7,1,37,6,6,8,75,3
100,2020,2,20,4,21,4,3,20,2007,99,1,34,5,5,7,75,3
101,2020,2,20,4,21,4,3,20,2007,99,1,34,5,5,7,75,3
102,2020,2,20,4,21,4,3,20,2007,99,1,34,5,5,7,75,3
103,2020,2,20,4,12,3,2,2,207,99,1,38,6,6,8,75,3
104,2020,2,22,6,0,1,1,11,1103,99,1,32,5,5,7,75,3
105,2020,2,22,6,11,2,1,11,1106,99,1,31,5,5,7,75,3
106,2020,2,23,7,18,4,3,1,110,99,1,25,4,4,6,69,3
107,2020,2,23,7,19,4,3,22,2201,99,1,51,9,9,11,75,3
108,2020,2,23,7,18,4,3,5,508,99,1,88,11,15,17,75,3
109,2020,2,24,1,18,4,3,1,101,2,1,45,8,8,10,75,3
110,2020,2,27,4,20,4,3,1,101,9,1,28,4,4,6,69,3
111,2020,2,27,4,12,3,2,1,108,99,1,44,7,7,9,69,3
112,2020,2,27,4,15,3,2,18,1805,99,1,33,5,5,7,75,3
113,2020,2,29,6,17,3,2,1,115,99,1,38,6,6,8,69,3
114,2020,2,29,6,3,1,1,22,2215,99,1,39,6,6,8,75,3
115,2020,2,29,6,23,4,3,4,403,99,1,38,6,6,8,69,3
116,2020,3,1,7,5,1,1,1,101,9,1,42,7,7,9,69,3
117,2020,3,1,7,5,1,1,1,101,9,1,42,7,7,9,69,3
118,2020,3,1,7,23,4,3,1,115,99,1,29,4,4,6,69,3
119,2020,3,1,7,18,4,3,19,1904,99,1,27,4,4,6,69,3
120,2020,3,2,1,15,3,2,19,1905,99,1,26,4,4,6,75,3
121,2020,3,2,1,20,4,3,19,1901,99,1,45,8,8,10,75,3
122,2020,3,3,2,13,3,2,1,101,12,1,26,4,4,6,69,3
123,2020,3,3,2,5,1,1,1,114,99,1,65,11,12,14,69,3
124,2020,3,3,2,13,3,2,1,108,99,1,41,7,7,9,75,3
125,2020,3,4,3,8,2,1,22,2212,99,2,61,11,11,13,69,3
126,2020,3,5,4,22,4,3,19,1901,99,1,35,6,6,8,75,3
127,2020,3,9,1,10,2,1,22,2201,99,1,71,11,13,15,75,3
128,2020,3,9,1,11,2,1,11,1101,99,1,42,7,7,9,75,3
129,2020,3,10,2,10,2,1,1,108,99,1,23,3,3,5,75,3
130,2020,3,10,2,6,2,1,9,917,99,1,31,5,5,7,75,3
131,2020,3,10,2,14,3,2,14,1404,99,1,55,10,10,12,75,3
132,2020,3,11,3,15,3,2,1,105,99,1,63,11,11,13,75,3
133,2020,3,12,4,8,2,1,1,108,99,1,22,3,3,5,69,3
134,2020,3,12,4,8,2,1,1,108,99,1,37,6,6,8,69,3
135,2020,3,13,5,15,3,2,1,103,99,1,81,11,15,17,69,3
136,2020,3,13,5,15,3,2,1,103,99,1,81,11,15,17,69,3
137,2020,3,13,5,15,3,2,1,103,99,1,81,11,15,17,69,3
138,2020,3,13,5,15,3,2,1,103,99,1,81,11,15,17,69,3
139,2020,3,13,5,15,3,2,1,103,99,1,81,11,15,17,69,3
140,2020,3,13,5,15,3,2,1,103,99,1,81,11,15,17,69,3
141,2020,3,13,5,15,3,2,1,103,99,1,81,11,15,17,69,3
142,2020,3,13,5,15,3,2,1,103,99,1,81,11,15,17,69,3
143,2020,3,13,5,11,2,1,22,2212,99,1,27,4,4,6,69,3
144,2020,3,15,7,1,1,1,1,103,99,1,36,6,6,8,69,3
145,2020,3,16,1,18,4,3,19,1903,99,1,45,8,8,10,69,3
146,2020,3,16,1,18,4,3,19,1903,99,1,45,8,8,10,69,3
147,2020,3,17,2,10,2,1,1,101,7,1,51,9,9,11,75,3
148,2020,3,17,2,20,4,3,2,207,99,1,23,3,3,5,69,3
149,2020,3,18,3,21,4,3,1,101,11,1,83,11,15,17,69,3
150,2020,3,18,3,21,4,3,1,101,11,1,83,11,15,17,69,3
151,2020,3,18,3,21,4,3,1,101,11,1,83,11,15,17,69,3
152,2020,3,18,3,21,4,3,1,101,11,1,83,11,15,17,69,3
153,2020,3,18,3,21,4,3,1,101,11,1,83,11,15,17,69,3
154,2020,3,19,4,13,3,2,18,1801,99,1,50,9,9,11,75,3
155,2020,3,19,4,16,3,2,3,309,99,1,35,6,6,8,75,3
156,2020,3,19,4,16,3,2,1,101,12,1,52,9,9,11,69,3
157,2020,3,20,5,11,2,1,1,103,99,1,31,5,5,7,75,3
158,2020,3,20,5,9,2,1,1,108,99,1,999,12,16,18,69,3
159,2020,3,21,6,0,1,1,1,116,99,1,62,11,11,13,69,3
160,2020,3,22,7,13,3,2,5,504,99,1,28,4,4,6,75,3
161,2020,3,23,1,14,3,2,1,101,11,1,36,6,6,8,75,3
162,2020,3,23,1,17,3,2,1,108,99,1,999,12,16,18,75,3
163,2020,3,23,1,11,2,1,18,1804,99,1,44,7,7,9,75,3
164,2020,3,25,3,15,3,2,1,105,99,1,37,6,6,8,75,3
165,2020,3,25,3,11,2,1,1,116,99,1,24,3,3,5,69,3
166,2020,3,27,5,15,3,2,1,116,99,1,35,6,6,8,69,3
167,2020,3,27,5,10,2,1,5,511,99,1,37,6,6,8,69,3
168,2020,3,29,7,14,3,2,22,2201,99,1,39,6,6,8,75,3
169,2020,4,1,3,9,2,1,1,108,99,1,49,8,8,10,75,3
170,2020,4,4,6,3,1,1,1,101,9,1,43,7,7,9,69,3
171,2020,4,5,7,16,3,2,1,110,99,1,34,5,5,7,69,3
172,2020,4,5,7,13,3,2,5,501,99,1,28,4,4,6,75,3
173,2020,4,5,7,22,4,3,9,917,99,1,36,6,6,8,69,3
174,2020,4,6,1,9,2,1,1,115,99,1,69,11,12,14,75,3
175,2020,4,6,1,16,3,2,22,2205,99,1,32,5,5,7,75,3
176,2020,4,6,1,22,4,3,18,1801,99,1,39,6,6,8,69,3
177,2020,4,7,2,16,3,2,1,101,18,1,34,5,5,7,75,3
178,2020,4,7,2,19,4,3,16,1601,99,1,39,6,6,8,75,3
179,2020,4,7,2,15,3,2,14,1415,99,1,67,11,12,14,75,3
180,2020,4,8,3,8,2,1,5,513,99,1,60,11,11,13,75,3
181,2020,4,9,4,8,2,1,1,108,99,1,30,5,5,7,69,3
182,2020,4,15,3,9,2,1,1,102,99,1,45,8,8,10,75,3
183,2020,4,15,3,7,2,1,1,113,99,1,53,9,9,11,69,3
184,2020,4,15,3,11,2,1,1,108,99,1,55,10,10,12,69,3
185,2020,4,16,4,13,3,2,1,109,99,1,47,8,8,10,69,3
186,2020,4,16,4,10,2,1,4,411,99,1,61,11,11,13,75,3
187,2020,4,17,5,19,4,3,1,101,12,1,30,5,5,7,69,3
188,2020,4,17,5,10,2,1,1,101,12,1,37,6,6,8,75,3
189,2020,4,17,5,10,2,1,1,101,12,1,37,6,6,8,75,3
190,2020,4,19,7,11,2,1,11,1101,99,2,35,6,6,8,75,3
191,2020,4,23,4,10,2,1,1,110,99,1,58,10,10,12,75,3
192,2020,4,23,4,11,2,1,13,1301,99,1,49,8,8,10,75,3
193,2020,4,24,5,8,2,1,1,108,99,1,19,2,2,4,69,3
194,2020,4,26,7,8,2,1,1,101,14,1,28,4,4,6,75,3
195,2020,4,27,1,16,3,2,20,2009,99,1,52,9,9,11,75,3
196,2020,4,28,2,11,2,1,1,108,99,1,39,6,6,8,69,3
197,2020,4,28,2,11,2,1,1,108,99,1,39,6,6,8,69,3
198,2020,4,28,2,11,2,1,1,108,99,1,39,6,6,8,69,3
199,2020,4,28,2,10,2,1,17,1706,99,1,46,8,8,10,69,3
200,2020,4,29,3,19,4,3,1,110,99,1,48,8,8,10,69,3
201,2020,4,30,4,14,3,2,1,108,99,1,49,8,8,10,75,3
202,2020,4,30,4,15,3,2,1,108,99,1,35,6,6,8,75,3
203,2020,4,30,4,16,3,2,22,2216,99,1,30,5,5,7,75,3
204,2020,4,30,4,8,2,1,5,509,99,1,53,9,9,11,75,3
205,2020,4,30,4,11,2,1,17,1703,99,1,40,7,7,9,75,3
206,2020,1,1,3,20,4,3,1,101,3,1,25,4,4,6,19,3
207,2020,1,1,3,5,1,1,1,101,9,1,36,6,6,8,20,3
208,2020,1,1,3,19,4,3,1,101,10,1,45,8,8,10,20,3
209,2020,1,1,3,17,3,2,1,117,99,1,34,5,5,7,19,3
210,2020,1,1,3,9,2,1,1,117,99,1,29,4,4,6,19,3
211,2020,1,1,3,23,4,3,3,309,99,1,999,12,16,18,81,3
212,2020,1,1,3,21,4,3,18,1801,99,1,999,12,16,18,81,3
213,2020,1,2,4,8,2,1,1,101,1,1,22,3,3,5,20,3
214,2020,1,2,4,16,3,2,1,102,99,1,39,6,6,8,81,3
215,2020,1,2,4,9,2,1,1,115,99,1,43,7,7,9,20,3
216,2020,1,2,4,8,2,1,1,101,1,1,22,3,3,5,20,3
217,2020,1,2,4,20,4,3,7,714,99,1,999,12,16,18,21,3
218,2020,1,2,4,11,2,1,10,1013,99,1,999,12,16,18,19,3
219,2020,1,2,4,11,2,1,14,1404,99,2,999,12,16,18,81,3
220,2020,1,2,4,17,3,2,7,703,99,2,46,8,8,10,81,3
221,2020,1,3,5,9,2,1,1,115,99,2,20,3,3,5,20,3
222,2020,1,3,5,9,2,1,1,115,99,2,28,4,4,6,20,3
223,2020,1,3,5,8,2,1,5,501,99,1,40,7,7,9,20,3
224,2020,1,3,5,99,5,4,13,1301,99,1,31,5,5,7,20,3
225,2020,1,3,5,12,3,2,1,101,17,1,999,12,16,18,21,3
226,2020,1,3,5,13,3,2,13,1301,99,1,999,12,16,18,21,3
227,2020,1,3,5,0,1,1,11,1106,99,2,60,11,11,13,81,3
228,2020,1,4,6,0,1,1,9,901,99,1,28,4,4,6,20,3
229,2020,1,4,6,12,3,2,9,901,99,2,42,7,7,9,20,3
230,2020,1,4,6,20,4,3,4,403,99,1,54,9,9,11,19,3
231,2020,1,4,6,21,4,3,4,404,99,2,37,6,6,8,19,3
232,2020,1,5,7,21,4,3,1,103,99,1,36,6,6,8,19,3
233,2020,1,5,7,21,4,3,1,103,99,1,30,5,5,7,19,3
234,2020,1,5,7,14,3,2,1,101,11,2,44,7,7,9,19,3
235,2020,1,5,7,9,2,1,13,1301,99,1,38,6,6,8,20,3
236,2020,1,5,7,4,1,1,12,1215,99,2,21,3,3,5,19,3
237,2020,1,5,7,11,2,1,4,404,99,2,37,6,6,8,19,3
238,2020,1,6,1,16,3,2,1,105,99,2,28,4,4,6,20,3
239,2020,1,6,1,11,2,1,4,401,99,1,55,10,10,12,20,3
240,2020,1,6,1,8,2,1,3,301,99,1,30,5,5,7,19,3
241,2020,1,6,1,17,3,2,14,1404,99,1,999,12,16,18,21,3
242,2020,1,6,1,6,2,1,12,1226,99,2,999,12,16,18,19,3
243,2020,1,6,1,13,3,2,14,1410,99,2,999,12,16,18,81,3
244,2020,1,7,2,9,2,1,1,101,10,2,45,8,8,10,81,3
245,2020,1,7,2,0,1,1,14,1412,99,2,83,11,15,17,81,3
246,2020,1,7,2,18,4,3,5,509,99,1,28,4,4,6,20,3
247,2020,1,8,3,1,1,1,1,101,21,1,42,7,7,9,21,3
248,2020,1,8,3,12,3,2,3,306,99,1,28,4,4,6,81,3
249,2020,1,8,3,20,4,3,16,1609,99,2,28,4,4,6,81,3
250,2020,1,8,3,4,1,1,17,1712,99,2,64,11,11,13,21,3
251,2020,1,8,3,12,3,2,3,311,99,1,28,4,4,6,19,3
252,2020,1,8,3,18,4,3,10,1001,99,1,999,12,16,18,19,3
253,2020,1,8,3,13,3,2,12,1202,99,1,999,12,16,18,81,3
254,2020,1,8,3,21,4,3,4,402,99,1,21,3,3,5,21,3
255,2020,1,9,4,12,3,2,5,507,99,1,38,6,6,8,21,3
256,2020,1,10,5,9,2,1,1,108,99,1,35,6,6,8,20,3
257,2020,1,10,5,20,4,3,16,1615,99,1,20,3,3,5,20,3
258,2020,1,10,5,2,1,1,1,115,99,1,65,11,12,14,20,3
259,2020,1,10,5,18,4,3,12,1217,99,1,18,2,2,4,21,3
260,2020,1,11,6,13,3,2,1,108,99,1,24,3,3,5,20,3
261,2020,1,11,6,0,1,1,12,1203,99,2,37,6,6,8,19,3
262,2020,1,11,6,18,4,3,13,1301,99,1,999,12,16,18,20,3
263,2020,1,11,6,15,3,2,18,1801,99,2,32,5,5,7,19,3
264,2020,1,11,6,5,1,1,1,101,1,1,64,11,11,13,81,3
265,2020,1,12,7,10,2,1,1,101,12,1,43,7,7,9,20,3
266,2020,1,12,7,13,3,2,1,113,99,2,52,9,9,11,19,3
267,2020,1,12,7,18,4,3,1,101,1,2,27,4,4,6,19,3
268,2020,1,12,7,9,2,1,1,108,99,1,42,7,7,9,19,3
269,2020,1,12,7,21,4,3,9,909,99,1,50,9,9,11,19,3
270,2020,1,12,7,14,3,2,12,1201,99,1,48,8,8,10,19,3
271,2020,1,12,7,8,2,1,11,1106,99,1,87,11,15,17,20,3
272,2020,1,12,7,14,3,2,2,204,99,1,999,12,16,18,81,3
273,2020,1,13,1,5,1,1,1,101,1,1,32,5,5,7,20,3
274,2020,1,13,1,8,2,1,3,301,99,1,33,5,5,7,20,3
275,2020,1,13,1,12,3,2,18,1801,99,2,34,5,5,7,19,3
276,2020,1,13,1,11,2,1,1,115,99,1,26,4,4,6,20,3
277,2020,1,13,1,7,2,1,9,901,99,1,34,5,5,7,20,3
278,2020,1,13,1,8,2,1,3,301,99,1,31,5,5,7,20,3
279,2020,1,13,1,22,4,3,1,101,1,1,999,12,16,18,20,3
280,2020,1,13,1,17,3,2,9,901,99,1,999,12,16,18,21,3
281,2020,1,13,1,9,2,1,17,1705,99,1,49,8,8,10,19,3
282,2020,1,14,2,12,3,2,1,115,99,1,26,4,4,6,32,3
283,2020,1,14,2,18,4,3,1,115,99,1,33,5,5,7,19,3
